"iso","umd_tree_cover_extent_2010__ha","area__ha"
"SVK",2375637.0824746243,4909915.804722626
"SVN",1265618.1262702097,1998090.7854925531
"SWE",29060726.355004877,44999327.61983751
"SWZ",420922.922852441,1738333.063014166
"SXM",852.1805600708075,3801.387515216056
"SYC",5605.826605038333,20266.945161781885
"SYR",116470.07622170245,18691800.160237014
"TCA",11081.506065505737,99152.01584846975
"TCD",622312.2302859678,113126705.11814974
"TGO",599792.9283784342,5699519.2020189455
"THA",19272250.73350149,51405448.59428095
"TJK",31672.775597472926,14211295.405721027
"TKM",7563.726962300555,48959209.55422319
"TLS",692838.8658551502,1491565.392337095
"TTO",383299.98140642454,515899.59454435244
"TUN",169253.31740079072,15486458.270953419
"TUR",8957674.323140882,78070340.89002262
"TUV",0.0,49.90083498858027
"TWN",2276151.1202326994,3640651.397324754
"TZA",24703915.720459767,94057690.73100987
"UGA",6926895.429006866,24143952.939303838
"UKR",11363522.956962742,60136109.70821226
"UMI",73.97253855684802,541.6797628046156
"URY",2119109.494386064,17746574.344350483
"USA",271944318.5068134,947083424.5263464
"UZB",74271.09944061455,44755388.10020216
"VAT",5.9329269584849005,52.878039683944706
"VCT",29654.978030957674,39788.97162864797
"VEN",57273646.42458921,91249225.4504766
"VGB",7181.516631781841,16932.044499445856
"VIR",18646.7264376213,36213.91572681367
"VNM",16371753.929784447,32927599.947524935
"VUT",1148002.6713320136,1231886.2529364158
"XAD",383.189702395797,23448.38132256482
"XCA",173395.1241418212,37158133.7733791
"XCL",0.0,1008.6390983724007
"XKO",322898.3220014921,1091976.447946347
